date,1. open,2. high,3. low,4. close,5. volume
2018-10-15 09:32:00,6.41,6.41,6.41,6.41,0.0
2018-10-15 09:33:00,6.405,6.405,6.405,6.405,2130.0
2018-10-15 09:34:00,6.38,6.38,6.365,6.365,21610.0
2018-10-15 09:35:00,6.36,6.36,6.36,6.36,7141.0
2018-10-15 09:36:00,6.37,6.38,6.37,6.38,31782.0
2018-10-15 09:37:00,6.375,6.375,6.375,6.375,1950.0
2018-10-15 09:39:00,6.365,6.365,6.365,6.365,8159.0
2018-10-15 09:40:00,6.365,6.365,6.35,6.35,11642.0
2018-10-15 09:41:00,6.35,6.36,6.35,6.36,41519.0
2018-10-15 09:42:00,6.37,6.37,6.37,6.37,21110.0
2018-10-15 09:43:00,6.36,6.36,6.36,6.36,3159.0
2018-10-15 09:45:00,6.36,6.36,6.355,6.355,7871.0
2018-10-15 09:46:00,6.355,6.355,6.355,6.355,7407.0
2018-10-15 09:47:00,6.37,6.37,6.36,6.36,47159.0
2018-10-15 09:48:00,6.36,6.37,6.36,6.37,10367.0
2018-10-15 09:49:00,6.36,6.365,6.36,6.365,20659.0
2018-10-15 09:50:00,6.36,6.37,6.36,6.37,19884.0
2018-10-15 09:51:00,6.365,6.365,6.365,6.365,6927.0
2018-10-15 09:52:00,6.37,6.37,6.37,6.37,19839.0
2018-10-15 09:53:00,6.365,6.365,6.365,6.365,9218.0
2018-10-15 09:54:00,6.37,6.37,6.36,6.36,12103.0
2018-10-15 09:55:00,6.35,6.35,6.345,6.345,63898.0
2018-10-15 09:56:00,6.345,6.36,6.345,6.36,30796.0
2018-10-15 09:57:00,6.36,6.36,6.355,6.36,22266.0
2018-10-15 09:58:00,6.38,6.38,6.38,6.38,24911.0
2018-10-15 09:59:00,6.375,6.375,6.375,6.375,7333.0
2018-10-15 10:00:00,6.37,6.37,6.37,6.37,8835.0
2018-10-15 10:01:00,6.375,6.38,6.375,6.38,18170.0
2018-10-15 10:03:00,6.38,6.38,6.37,6.37,28207.0
2018-10-15 10:04:00,6.37,6.37,6.37,6.37,9173.0
2018-10-15 10:05:00,6.36,6.36,6.36,6.36,15095.0
2018-10-15 10:06:00,6.36,6.36,6.36,6.36,8129.0
2018-10-15 10:07:00,6.365,6.365,6.355,6.355,27392.0
2018-10-15 10:08:00,6.355,6.355,6.355,6.355,6701.0
2018-10-15 10:09:00,6.355,6.355,6.355,6.355,7719.0
