date,1. open,2. high,3. low,4. close,5. volume
2018-08-24 09:30:00,67.0,67.0,66.94,66.97,103643.0
2018-08-24 09:31:00,67.03,67.08,67.01,67.01,22236.0
2018-08-24 09:32:00,66.97,67.02,66.97,67.02,10041.0
2018-08-24 09:33:00,67.05,67.05,67.04,67.04,8218.0
2018-08-24 09:34:00,67.05,67.07,67.05,67.05,31573.0
2018-08-24 09:35:00,67.07,67.07,67.07,67.07,8534.0
2018-08-24 09:36:00,67.06,67.06,67.05,67.051,31137.0
2018-08-24 09:37:00,67.019,67.045,67.019,67.045,8885.0
2018-08-24 09:38:00,67.05,67.05,67.0172,67.03,16458.0
2018-08-24 09:39:00,67.02,67.02,66.995,67.0,2039968.0
2018-08-24 09:40:00,67.03,67.075,67.03,67.075,23784.0
2018-08-24 09:41:00,67.1,67.1,67.09,67.09,14158.0
2018-08-24 09:42:00,67.12,67.12,67.1146,67.1146,12184.0
2018-08-24 09:43:00,67.09,67.09,67.075,67.075,13194.0
2018-08-24 09:44:00,67.04,67.04,67.03,67.03,16343.0
2018-08-24 09:45:00,67.02,67.02,67.02,67.02,5523.0
2018-08-24 09:46:00,67.0,67.005,66.995,67.005,27358.0
2018-08-24 09:47:00,67.0242,67.03,67.0242,67.03,10082.0
2018-08-24 09:48:00,67.01,67.01,67.0,67.0,11261.0
2018-08-24 09:49:00,67.0,67.0101,67.0,67.0101,12114.0
2018-08-24 09:50:00,67.01,67.035,66.99,67.035,44354.0
2018-08-24 09:51:00,67.04,67.075,67.04,67.075,25513.0
2018-08-24 09:52:00,67.05,67.05,67.04,67.04,14719.0
2018-08-24 09:53:00,67.025,67.025,67.02,67.02,23230.0
2018-08-24 09:54:00,67.015,67.015,67.0,67.01,16372.0
2018-08-24 09:55:00,67.01,67.0367,67.01,67.0367,49633.0
2018-08-24 09:56:00,67.0401,67.0401,67.03,67.03,8269.0
2018-08-24 09:57:00,67.07,67.08,67.07,67.08,11793.0
2018-08-24 09:58:00,67.075,67.075,67.0415,67.0415,12501.0
2018-08-24 09:59:00,67.04,67.05,67.02,67.02,14602.0
2018-08-24 10:00:00,67.025,67.025,67.01,67.01,8212.0
2018-08-24 10:01:00,67.02,67.15,67.02,67.15,39410.0
2018-08-24 10:02:00,67.13,67.15,67.13,67.15,25474.0
2018-08-24 10:03:00,67.13,67.13,67.085,67.085,10728.0
2018-08-24 10:04:00,67.095,67.095,67.09,67.095,20707.0
2018-08-24 10:05:00,67.095,67.11,67.08,67.08,20247.0
2018-08-24 10:06:00,67.08,67.095,67.08,67.095,22522.0
2018-08-24 10:07:00,67.115,67.115,67.05,67.05,67080.0
2018-08-24 10:08:00,67.03,67.03,67.015,67.015,11389.0
2018-08-24 10:09:00,67.04,67.04,67.03,67.03,11817.0
2018-08-24 10:10:00,67.03,67.03,67.02,67.02,8930.0
2018-08-24 10:11:00,67.01,67.02,67.01,67.02,8454.0
2018-08-24 10:12:00,67.05,67.05,67.0232,67.0232,10663.0
2018-08-24 10:13:00,67.03,67.035,67.03,67.035,9857.0
2018-08-24 10:14:00,67.04,67.04,67.04,67.04,3553.0
2018-08-24 10:15:00,67.05,67.09,67.05,67.09,23260.0
2018-08-24 10:16:00,67.095,67.095,67.09,67.09,11178.0
2018-08-24 10:17:00,67.09,67.09,67.06,67.06,12163.0
2018-08-24 10:18:00,67.08,67.08,67.08,67.08,14594.0
2018-08-24 10:19:00,67.09,67.09,67.07,67.07,15205.0
2018-08-24 10:20:00,67.0726,67.0726,67.0726,67.0726,5109.0
2018-08-24 10:21:00,67.085,67.1,67.0823,67.1,23392.0
2018-08-24 10:22:00,67.105,67.105,67.09,67.09,19166.0
2018-08-24 10:23:00,67.09,67.0951,67.09,67.0951,12106.0
2018-08-24 10:24:00,67.09,67.095,67.09,67.095,6811.0
2018-08-24 10:25:00,67.0999,67.0999,67.085,67.085,10242.0
2018-08-24 10:26:00,67.085,67.085,67.085,67.085,4956.0
2018-08-24 10:27:00,67.07,67.07,67.065,67.065,8291.0
2018-08-24 10:28:00,67.09,67.095,67.09,67.095,10132.0
2018-08-24 10:29:00,67.08,67.095,67.08,67.095,11440.0
2018-08-24 10:30:00,67.1,67.1,67.09,67.09,18882.0
2018-08-24 10:31:00,67.1,67.1,67.09,67.09,12856.0
2018-08-24 10:32:00,67.08,67.08,67.07,67.07,7335.0
2018-08-24 10:33:00,67.08,67.0901,67.08,67.0901,13802.0
2018-08-24 10:34:00,67.105,67.15,67.105,67.15,36816.0
2018-08-24 10:35:00,67.15,67.16,67.15,67.15,70228.0
2018-08-24 10:36:00,67.16,67.2,67.16,67.2,37497.0
2018-08-24 10:37:00,67.19,67.2,67.19,67.2,22672.0
2018-08-24 10:38:00,67.2,67.21,67.195,67.21,1049034.0
2018-08-24 10:39:00,67.21,67.21,67.2,67.2,11147.0
2018-08-24 10:40:00,67.19,67.19,67.18,67.18,11833.0
2018-08-24 10:41:00,67.1848,67.1848,67.1848,67.1848,3034.0
2018-08-24 10:42:00,67.19,67.19,67.19,67.19,11451.0
2018-08-24 10:43:00,67.19,67.19,67.1846,67.19,27245.0
2018-08-24 10:44:00,67.2,67.21,67.2,67.21,10097.0
2018-08-24 10:45:00,67.22,67.24,67.22,67.24,40596.0
2018-08-24 10:46:00,67.2485,67.27,67.2485,67.26,39113.0
2018-08-24 10:47:00,67.245,67.27,67.245,67.27,20409.0
2018-08-24 10:48:00,67.27,67.27,67.24,67.26,31157.0
2018-08-24 10:49:00,67.275,67.275,67.2457,67.2457,9376.0
2018-08-24 10:50:00,67.23,67.23,67.21,67.22,13503.0
2018-08-24 10:51:00,67.2264,67.24,67.2264,67.24,13873.0
2018-08-24 10:52:00,67.25,67.26,67.25,67.26,11963.0
2018-08-24 10:53:00,67.22,67.235,67.22,67.235,8410.0
2018-08-24 10:54:00,67.23,67.23,67.2101,67.2101,9231.0
2018-08-24 10:55:00,67.22,67.22,67.2,67.2,8605.0
2018-08-24 10:56:00,67.2,67.22,67.2,67.22,14477.0
2018-08-24 10:57:00,67.23,67.24,67.23,67.24,11619.0
2018-08-24 10:58:00,67.225,67.23,67.225,67.23,11193.0
2018-08-24 10:59:00,67.226,67.23,67.205,67.205,10755.0
2018-08-24 11:00:00,67.2054,67.2054,67.2,67.2,17358.0
2018-08-24 11:01:00,67.19,67.19,67.145,67.145,11439.0
2018-08-24 11:02:00,67.15,67.15,67.13,67.14,17592.0
2018-08-24 11:03:00,67.14,67.14,67.14,67.14,9546.0
2018-08-24 11:04:00,67.13,67.1533,67.13,67.1533,10137.0
2018-08-24 11:05:00,67.15,67.16,67.15,67.16,12314.0
2018-08-24 11:06:00,67.165,67.18,67.165,67.18,7877.0
2018-08-24 11:07:00,67.19,67.19,67.19,67.19,4780.0
2018-08-24 11:08:00,67.19,67.205,67.19,67.205,23051.0
2018-08-24 11:09:00,67.19,67.19,67.18,67.18,9574.0
2018-08-24 11:10:00,67.19,67.2,67.18,67.18,24996.0
2018-08-24 11:11:00,67.19,67.19,67.18,67.18,8360.0
2018-08-24 11:12:00,67.19,67.2,67.181,67.181,25265.0
2018-08-24 11:13:00,67.18,67.2,67.18,67.1921,12886.0
2018-08-24 11:14:00,67.19,67.21,67.19,67.21,16292.0
2018-08-24 11:15:00,67.19,67.19,67.19,67.19,4953.0
2018-08-24 11:16:00,67.185,67.2,67.18,67.2,9307.0
2018-08-24 11:17:00,67.2,67.2,67.195,67.195,13580.0
